date,vix,price,shares,position_value,cash,net_value,total_cost,unrealized_pnl,daily_pnl,return_pct,note
2026-06-16,16.14,2.543,5077,12910.81,91603.51,12910.81,10994.62,1916.19,159.68,17.43,"VIX16.14,小额定投(趋势修正×1.3): 买入511份 @ 2.543元"
2026-06-17,16.4,2.544,5077,12915.89,91603.51,12915.89,10994.62,1921.27,5.08,17.47,"VIX16.4,持仓不动"
2026-06-18,17.45,2.531,5077,12849.89,91603.51,12849.89,10994.62,1855.27,-66.0,16.87,"VIX17.45,持仓不动"
2026-06-19,17.15,2.531,5077,12849.89,91603.51,12849.89,10994.62,1855.27,0.0,16.87,"VIX17.15,持仓不动"
2026-06-22,16.95,2.536,5077,12875.27,91603.51,12875.27,10994.62,1880.65,25.39,17.11,"VIX16.95,持仓不动"
2026-06-23,19.79,2.454,5077,12458.96,91603.51,12458.96,10994.62,1464.34,-416.31,13.32,"VIX19.79,持仓不动"
2026-06-24,19.22,2.469,5077,12535.11,91603.51,12535.11,10994.62,1540.49,76.15,14.01,"VIX19.22,持仓不动"
2026-06-25,17.95,2.5,5077,12692.5,91603.51,12692.5,10994.62,1697.88,157.39,15.44,"VIX17.95,持仓不动"
2026-06-26,20.27,2.434,5077,12357.42,91603.51,12357.42,10994.62,1362.8,-335.08,12.4,"VIX20.27,持仓不动"
2026-06-29,18.33,2.446,5077,12418.34,91603.51,12418.34,10994.62,1423.72,60.92,12.95,"VIX18.33,持仓不动"
2026-06-30,17.56,2.481,5359,13295.68,91603.51,13295.68,11694.33,1601.35,177.62,13.69,"VIX17.56,小额定投(趋势修正×0.7): 买入282份 @ 2.481元"
2026-07-01,16.71,2.494,5359,13365.35,91603.51,13365.35,11694.33,1671.01,69.67,14.29,"VIX16.71,持仓不动"
2026-07-02,16.77,2.437,5359,13059.88,91603.51,13059.88,11694.33,1365.55,-305.46,11.68,"VIX16.77,持仓不动"
2026-07-03,15.94,2.445,5359,13102.75,91603.51,13102.75,11694.33,1408.42,42.87,12.04,"VIX15.94,持仓不动"
2026-07-06,16.32,2.45,5359,13129.55,91603.51,13129.55,11694.33,1435.22,26.8,12.27,"VIX16.32,持仓不动"
2026-07-07,15.86,2.438,5359,13065.24,91603.51,13065.24,11694.33,1370.91,-64.31,11.72,"VIX15.86,持仓不动"
2026-07-08,18.6,2.405,5359,12888.39,91603.51,12888.39,11694.33,1194.06,-176.85,10.21,"VIX18.6,持仓不动"
2026-07-09,16.87,2.439,5359,13070.6,91603.51,13070.6,11694.33,1376.27,182.21,11.77,"VIX16.87,持仓不动"
2026-07-10,15.95,2.44,5359,13075.96,91603.51,13075.96,11694.33,1381.63,5.36,11.81,"VIX15.95,持仓不动"
2026-07-13,17.16,2.422,5359,12979.5,91603.51,12979.5,11694.33,1285.17,-96.46,10.99,"VIX17.16,持仓不动"
2026-07-14,16.5,2.436,5769,14053.28,91603.51,14053.28,12693.19,1360.09,74.93,10.72,"VIX16.5,小额定投(趋势修正×1.0): 买入410份 @ 2.436元"
2026-07-15,15.67,2.46,5769,14191.74,91603.51,14191.74,12693.19,1498.55,138.46,11.81,"VIX15.67,持仓不动"
2026-07-16,16.73,2.435,5769,14047.51,91603.51,14047.51,12693.19,1354.32,-144.23,10.67,"VIX16.73,持仓不动"
2026-07-17,18.77,2.352,5769,13568.69,91603.51,13568.69,12693.19,875.49,-478.83,6.9,"VIX18.77,持仓不动"
2026-07-20,18.65,2.352,5769,13568.69,91603.51,13568.69,12693.19,875.49,0.0,6.9,"VIX18.65,持仓不动"
2026-07-21,17.05,2.396,5769,13822.52,91603.51,13822.52,12693.19,1129.33,253.84,8.9,"VIX17.05,持仓不动"
2026-07-22,16.64,2.39,5769,13787.91,91603.51,13787.91,12693.19,1094.72,-34.61,8.62,"VIX16.64,持仓不动"
2026-07-23,17.59,2.389,5769,13782.14,91603.51,13782.14,12693.19,1088.95,-5.77,8.58,"VIX17.59,持仓不动"
2026-07-24,18.63,2.357,5769,13597.53,91603.51,13597.53,12693.19,904.34,-184.61,7.12,"VIX18.63,持仓不动"
2026-07-27,17.6,2.376,5769,13707.14,91603.51,13707.14,12693.19,1013.95,109.61,7.99,"VIX17.6,持仓不动"
2026-07-28,18.86,2.309,6223,14368.91,91603.51,14368.91,13741.58,627.32,-386.63,4.57,"VIX18.86,偏低定投(趋势修正×0.7): 买入454份 @ 2.309元"
2026-07-29,18.07,2.316,6223,14412.47,91603.51,14412.47,13741.58,670.88,43.56,4.88,"VIX18.07,持仓不动"
2026-07-30,19.54,2.278,6223,14175.99,91603.51,14175.99,13741.58,434.41,-236.47,3.16,"VIX19.54,持仓不动"
2026-07-31,16.81,2.364,6223,14711.17,91603.51,14711.17,13741.58,969.59,535.18,7.06,"VIX16.81,持仓不动"
2026-08-03,15.97,2.375,6223,14779.62,91603.51,14779.62,13741.58,1038.04,68.45,7.55,"VIX15.97,持仓不动"
2026-08-04,15.77,2.444,6223,15209.01,91603.51,15209.01,13741.58,1467.43,429.39,10.68,"VIX15.77,持仓不动"
2026-08-05,16.31,2.529,6223,15737.97,91603.51,15737.97,13741.58,1996.38,528.95,14.53,"VIX16.31,持仓不动"
2026-08-06,15.85,2.494,6223,15520.16,91603.51,15520.16,13741.58,1778.58,-217.8,12.94,"VIX15.85,持仓不动"
2026-08-07,15.26,2.504,6223,15582.39,91603.51,15582.39,13741.58,1840.81,62.23,13.4,"VIX15.26,持仓不动"
2026-08-10,15.47,2.52,6223,15681.96,91603.51,15681.96,13741.58,1940.38,99.57,14.12,"VIX15.47,持仓不动"
2026-08-11,15.48,2.484,6746,16757.06,91603.51,16757.06,15040.85,1716.22,-224.16,11.41,"VIX15.48,小额定投(趋势修正×1.3): 买入523份 @ 2.484元"
2026-08-12,15.29,2.496,6746,16838.02,91603.51,16838.02,15040.85,1797.17,80.95,11.95,"VIX15.29,持仓不动"
2026-08-13,14.69,2.499,6746,16858.25,91603.51,16858.25,15040.85,1817.41,20.24,12.08,"VIX14.69,持仓不动"
2026-08-14,14.63,2.54,6746,17134.84,91603.51,17134.84,15040.85,2093.99,276.59,13.92,"VIX14.63,持仓不动"
2026-08-17,14.93,2.551,6746,17209.05,91603.51,17209.05,15040.85,2168.2,74.21,14.42,"VIX14.93,持仓不动"
2026-08-18,15.9,2.51,6746,16932.46,91603.51,16932.46,15040.85,1891.61,-276.59,12.58,"VIX15.9,持仓不动"
2026-08-19,15.82,2.459,6746,16588.41,91603.51,16588.41,15040.85,1547.57,-344.05,10.29,"VIX15.82,持仓不动"
2026-08-20,14.98,2.477,6746,16709.84,91603.51,16709.84,15040.85,1669.0,121.43,11.1,"VIX14.98,持仓不动"
2026-08-21,15.84,2.465,6746,16628.89,91603.51,16628.89,15040.85,1588.04,-80.95,10.56,"VIX15.84,持仓不动"
2026-08-24,15.95,2.439,6746,16453.49,91603.51,16453.49,15040.85,1412.65,-175.4,9.39,"VIX15.95,持仓不动"
2026-08-25,15.79,2.465,7273,17927.94,91603.51,17927.94,16340.03,1587.91,175.27,9.72,"VIX15.79,小额定投(趋势修正×1.3): 买入527份 @ 2.465元"
2026-08-26,15.68,2.465,7273,17927.94,91603.51,17927.94,16340.03,1587.91,0.0,9.72,"VIX15.68,持仓不动"
